id,index,season,episode,cut_seconds,cut_start,cut_stop,clip_start,clip_stop,cut_content,type,subtype,subtype2,visual,sidenote,guideline_no
1,1,1,1,8,5:50,5:58,,,"PENNY: So, what do you guys do for fun around here? | SHELDEN: Well today we tried masturbating for money.",sex,sexual-description,"""masturbating""",,,3
2,5,5,5,20,6:02,6:22,,,"LESLIE: That was before I saw you handling that beautiful piece of wood between your legs.| LEONARD: You mean my cello? | LESLIE: No, I mean the obvious, crude, double entendre. I am seducing you.| LEONARD: What can I say? I am a passionate and impulsive woman.",sex,sexual-description,,,,3
3,6,1,6,13,12:14,12:27,,,"LEONARD: Look, if this was 1500 years ago, by virtue of his size and strength, Kurt would be entitled to his choice of female partners.| SHELDON: And male partners, animal partners, large primordial eggplants--pretty much whatever tickled his fancy.",non-heteronormative-relationship,homosexual,,,"and the concept of ""animal partner""",9
4,7,1,7,9,14:39,14:48,,,"SHELDON: he's putting his needs ahead of the collective good. Where he comes from, that's punishable by death. | ASIAN MAN: I came from Sacramento.",disrespect,china,,,,1
5,8,1,8,10,9:07,9:17,,,"HOWARD: I'd like to try a slippery nipple. | PENNY: Okay, you're cut off.",sex,body-part,,,,3
6,8,1,8,2,9:45,9:47,,,"RAJ: But with a penis, of course.",sex,body-part,,,,3
7,10,1,10,6,18:20,18:26,,,"LEO: What choice did he have but to drink, shoot and snort his pain away?",unhealthy-addiction,drugs,,,,8
8,12,1,12,3,1:12,1:15,,,KIM: I lost a year when my family was tunneling out of North Korea.,disrespect,north-korea,,,,1
9,12,1,12,8,1:48,1:56,00:05.05,00:13.20,Dean: And we welcome your input on our research goals. And we've agreed to look the other way if you want to use up to 20% of the grant money you attract to smuggle your grandfather out of Pyongyang.,disrespect,north-korea,,,,1
10,12,1,12,10,11:02,11:12,,,RAJ: We can't send him back to North Korea. He knows how to get out. | HOWARD: The only thing we need to do is make this kid lose his focus.,disrespect,north-korea,,,,1
11,12,1,12,39,18:58,19:37,,,"HOWARD: Unbelievable. The components I built are on the international space station and I get a ticket for launching a model rocket in the park. | LEONARD: I don't know if the ticket is so much to the launch as was for you telling the policewoman ""you have to frisk me, I have another rocket in my pants."" | RAJ: Hey look that. It's Dennis Kim. | HOWARD: Wow, I almost didn't recognize him. | RAJ: you know. I kind of feel bad about what we did to him. | LEONARD: Yeah, we really ruined his life. | SHELDON: Screw him--he was weak.",sex,sexual-description,,,,3
12,13,1,13,9,0:32,0:41,,,"RAJ: How come on Star Trek, everybody's private parts are the same? No alien lady ever told captain Kirk, ""hey, get your thing out of my nose.""",sex,sexual-description,,,,3
13,13,1,13,10,2:47,2:57,,,"HOWARD: It's beyond the laws of physics, plus a little heads-up for the ladies. | LEONARD: The ladies? | HOWARD: ""perpetual motion squad-- we can go all night.""",sex,sexual-description,,,,3
14,14,1,14,6,12:19,12:25,00:08.03,00:15.14,"SHELDON: In back to the future, Marty McFly got the opportunity to hook up with his extremely attractive young mother.",non-heteronormative-relationship,mother-issue,,,,5
15,14,1,14,4,17:25,17:29,00:01.18,00:07.04,"HOWARD: I guess that makes me ""large breasts.""",sex,body-part,,,,3
16,15,1,15,8,1:52,2:00,,,MISSY: Oh he once spent nine months with my legs wrapped around his head. | LEONARD: Excuse me?,sex,sexual-description,,,,3
17,15,1,15,4,13:08,13:12,,,HOWARD: Is it because I am Jewish? Cause I'd kill my rabbi with a pork chop to be with your sister.,religion,,,,,6
18,15,1,15,10,16:01,16:11,,,"SHELDON: You donate eggs. We will place them in cryogenic storage. I will find an appropriate sperm donor for your eggs, have them fertilized and implanted in you. That way, everybody wins.",illegal,,,,,9
19,15,1,15,4,20:08,20:12,,,MISSY: We had a dog who made a noise like that. Had to put him down.,illegal,,,,,7
20,15,1,15,3,20:34,20:37,00:03.00,00:06.09,SHELDON: Other than that business with my testicles.,sex,body-part,,,,3
21,16,1,16,25,4:12,4:37,,,"HOWARD: I suppose that's possible, but for the record, I've never had a threesome, and yet I still know I want one. | PENNY: Here's the difference -- the possibility exists that. | LEONARD could have a birthday party before hell freezes over. | HOWARD: Fine, if I do have a threesome, you can't be part of it. I am just kidding. yes, you can. Can you bring a friend?",sex,sexual-description,"""threesome""",,,3
22,17,1,17,14,0:51,1:05,00:08.03,00:23.25,"LEONARD: Why are you learning Chinese? | SHELDON: I believe the Szechuan palace has been passing off Orange chicken as tangerine chicken and I intend to confront them. | LEONARD: If I were you, I'd be more concerned about what they are passing off as chicken.",disrespect,china,,,,1
23,17,1,17,8,7:39,7:47,,,"HOWARD: For god sake Sheldon, if you don't like the tangerine chicken, don't order the tangerine chicken. | SHELDON: I like tangerine chicken. I'm just not getting tangerine chicken.",not-sure-why,,,,,
24,17,1,17,4,8:30,8:34,,,"LEONARD: Eat your tangerine chicken. | SHELDON: I'd love to, but I don't have tangerine chicken.",not-sure-why,,,,,
25,17,1,17,4,16:24,16:28,00:02.17,00:10.09,SHELDON: chang shou she hui? Xie xie.,disrespect,china,,,,1
26,18,2,1,9,12:31,12:40,,,HOWARD: That's kind of an overreaction to a little harmless necrophilia. | LEONARD: It's not you Howard. He says he's moving out.,illegal,,,,,4
27,19,2,2,6,4:00,4:06,,,"LEONARD: But she defected back to North Korea, so that's a little geographically undesirable.",disrespect,north-korea,,,,1
28,19,2,2,2,4:38,4:40,00:06.00,00:09.18,HOWARD: Yeah so? Be a tool.,sex,sexual-description,,,,3
29,19,2,2,1,10:57,10:58,,,LESLIE: Besides shortness.,sex,body-part,,,,3
30,20,2,3,3,1:37,1:40,,,"PENNY: haven't gotten a raise at work, haven't even had sex in six months",sex,sexual-description,,,,3
31,20,2,3,115,14:52,16:47,,,"LESLIE: Right, I heard you've been pulling all-nighters with middle earth barbie. | SHELDON: She comes into my room. No one's supposed to be in my room. | LESLIE: I would postulate that she's escaping into the online world to compensate for her sexual frustration. | HOWARD: I do that too. But probably in a different way. | HOWARD: That's not what she's doing, Leslie. She's just trying to shore up her self-esteem. It has nothing to do with sex. | LESLIE: Everything has to do with sex. | HOWARD: hmm, testify. | LESLIE: I am not touching that. | HOWARD: Leslie, you are way off base here. | SHELDON: Hang on there, while I have no respect for Leslie as a scientist, or a human being, for that matter. We have to concede her undeniable expertise in the interrelated fields of promiscuity and general sluttiness. | LESLIE: Thank you. My point is that tinker bell just needs to get her some. | SHELDON: Some what? oh yes, some sexual intercourse. | HOWARD: I'll take the bullet. | LEONARD: Excuse me, this whole idea is insane. | SHELDON: Enough debate, I am going to take action. Excuse me. Are you currently involved in a sexual relationship? | MAN: No. | SHELDON: Would you like to be? | MAN: Sure, why not? | LEONARD: Sheldon? | SHELDON: Can I have your phone number? | MAN: Yeah. | SHELDON: There, problem solved. | LESLIE: Dumbass.",sex,sexual-description,,,,3
32,20,2,3,3,17:58,18:01,,,SHELDON: How do you prefer your sexual encounters to begin?,sex,sexual-description,,,,3
33,20,2,3,4,19:19,19:23,,,"SHELDON: And, uh, strong women who initiate sex.",sex,sexual-description,,,woman cannot initiate sex?,3
34,20,2,3,6,19:27,19:33,,,"SHELDON: I am surprised you struck out with Penny. Apparently, she's big of five.",sex,sexual-description,,,,3
35,20,2,3,5,19:52,19:57,,,SHELDON: Who is a sexually passive outdoorsman?,sex,sexual-description,,,,3
36,22,2,5,3,3:47,3:50,,,PENNY: Do you have any alcohol? | SHELDON: Of course not.,illegal,,,,cannot drive while drinking alcohol,8
37,24,2,7,6,9:42,9:48,,,"PENNY: Yeah, no there is a new policy: no shoes, no shirts, no Sheldon.",disrespect,China,,,"this may remind audience the saying of ""no dogs and no chinese""?",1
38,25,2,8,60,6:36,7:36,,,"STEPHANIE: I'm sorry. I totally interrupted you. What what what were you saying? | LEONARD: Just said Howard is a terrific guy. He's got a great sense of humor. He loves his mother a lot. People say ""too much."" | STEPHANIE: I really like that you are such a loyal friend. | LEONARD: Yeah I am loyal. You know, if you look at the big picture. Out of curiosity, did he ever have a shot with you? | STEPHANIE: Are you insane? The guy was wearing an eye patch. | LEONARD: Then why did you.. | STEPHANIE: He said that I can drive a car on Mars. | LEONARD: Got it. So Can I see you again? | STEPHANIE: You are not gonna see me now. | LEONARD: Cool.",sex,long-time-kissing,,TRUE,,3
